"Concavity","Dimensionality","SNR","IP (mm)","ST (mm)","Step (pixels)","Fitting order","Curvature, true (m-1)","Curvature, est. (m-1)","Curvature, std.","Length, true (mm)","Length, est. (mm)","Length, std.","Pennation, true (deg)","Pennation, est. (deg)","Pennation, std.","Nq","N0"
1,2,39,1,6,0.25,2,5.925,6.30859643514175,2.9407405871554,71.958122253418,64.5745928072715,16.596895579285,31.7092116673787,30.8249691994919,2.12545705776297,11544,12096
1,2,39,1,6,0.25,2,9.74,9.61068402536287,2.46546714221266,63.1085510253906,57.8051447321157,13.5391020828068,39.121906153361,37.5284859067125,2.53204313253773,11407,12096
1,2,39,1,6,0.25,2,13.475,12.6297490823075,1.91175194109123,54.660717010498,52.7883569978864,8.34343990540878,46.4481917063395,43.8428543723543,2.02520770658868,10804,12096
-1,2,39,1,6,0.25,2,1.997,3.24289198324142,3.67985969628852,76.2357711791992,66.3352688010844,18.8703595065036,21.2180894851685,20.5398907784867,2.0036776432976,11358,12096
-1,2,39,1,6,0.25,2,5.925,6.53591172066917,3.06120726417951,72.209587097168,63.3534963269262,17.5030767435541,19.7598046302795,18.0134694450074,2.55156142976335,11015,12096
-1,2,39,1,6,0.25,2,9.74,9.56549538038806,2.56362763411196,63.84033203125,57.4736106761526,13.0704114779874,21.5869770685832,19.6260447821893,2.93405284481356,11080,12096
-1,2,39,1,6,0.25,2,13.475,13.0032777807487,2.60838862966562,55.600341796875,50.478079171321,10.9358932581927,25.138325881958,22.8504367321636,3.36385336930997,11117,12096
1,3,39,1,6,0.25,2,1.997,3.99666491400779,4.27366399622823,76.2267227172852,53.9672562096683,22.2723480728487,24.7426647186279,24.71595404975,2.00130728586704,8696,9072
1,3,39,1,6,0.25,2,5.925,7.17085825457054,4.19754201539028,72.0386276245117,51.3846492611334,22.1564612515007,29.3488041559855,29.4964575061698,2.29521491012993,8742,9072
1,3,39,1,6,0.25,2,9.74,10.3782444247706,4.48992726453501,63.3940315246582,47.9376249516955,19.3588994806569,35.318489519755,35.1758011344236,2.50953553442213,8806,9072
1,3,39,1,6,0.25,2,13.475,13.4315567515952,4.05349088673846,55.0172882080078,44.2240819571589,15.9831997012392,41.5925830841064,41.087766871138,2.60095645794611,8676,9072
-1,3,39,1,6,0.25,2,1.997,3.8166120173233,4.10628195214741,76.2347106933594,56.4983972617534,20.5451092705832,21.7612741470337,20.9481781462567,2.11221184079681,8599,9072
-1,3,39,1,6,0.25,2,5.925,6.61613824961097,3.33504206694397,72.1945343017578,56.7343401738757,18.2279077194318,20.9595585505168,19.4441091773266,2.35437415303044,8437,9072
-1,3,39,1,6,0.25,2,9.74,10.0716993985153,3.67559490169976,63.8085746765137,52.6103206121153,15.1015729518565,23.1213272730509,21.0658777446695,2.75535168226237,8393,9072
-1,3,39,1,6,0.25,2,13.475,13.1990015938483,3.00653449195197,55.5586280822754,48.8271971986639,11.6398455306224,26.9262369155884,24.9459848681722,2.81824994672436,8514,9072
1,2,39,1.5,4.5,0.25,2,1.997,2.8639444446635,2.65488385825081,76.2246170043945,69.1089687530811,14.6010470101872,25.4009402275085,25.2893006149785,1.94116157299294,12012,12582
1,2,39,1.5,4.5,0.25,2,5.925,6.15884121648424,2.78206856377894,71.9571914672852,64.74474641963,14.7137006071862,31.6063610076904,30.8312936079372,2.23174487319914,11930,12584
1,2,39,1.5,4.5,0.25,2,9.74,9.70404412148093,2.62459560831824,63.1066627502441,58.9638165582433,11.2836342333681,38.9743754386902,37.3556344415924,2.4165233222828,11972,12584
1,2,39,1.5,4.5,0.25,2,13.475,12.7908196694523,2.06614819377206,54.6583251953125,52.6368013829436,7.57057037812284,46.2719604492188,43.838362025126,2.2521083313255,11564,12594
-1,2,39,1.5,4.5,0.25,2,1.997,3.0600126480221,3.13947389823623,76.2356491088867,67.530049435775,16.1276286835463,21.2540165901184,21.1253216616335,2.04571690382229,11522,12583
-1,2,39,1.5,4.5,0.25,2,5.925,6.51068098916517,3.25029162743125,72.2086029052734,63.737075073518,14.9086373190538,19.8600324630737,18.9293253611671,2.62183978844717,11589,12568
-1,2,39,1.5,4.5,0.25,2,9.74,9.73057044483139,2.83523778641349,63.8382225036621,57.5420669500804,11.2482805349144,21.7307325363159,20.5972949019479,3.09323240337246,11508,11876
-1,2,39,1.5,4.5,0.25,2,13.475,13.2226020063594,2.81551191336823,55.5977630615234,50.9321664773332,9.04113416999858,25.3109040260315,23.9175135067822,3.18864245588199,11698,12592
1,3,39,1.5,4.5,0.25,2,1.997,3.63742624363754,4.01689273553116,76.2266235351562,60.990854299397,17.6489642831893,24.7172027587891,24.8732190563014,2.14427497449503,7293,7560
1,3,39,1.5,4.5,0.25,2,5.925,6.35192536547723,2.84276893282075,72.0377960205078,58.7430266180054,16.2659414606059,29.2794438362122,29.1980828912893,2.04556044278953,7372,7560
1,3,39,1.5,4.5,0.25,2,9.74,9.85696682701606,2.95733619728729,63.392463684082,55.4675319036367,12.6761605468281,35.2218529701233,34.600811640941,2.19052972906306,7344,7560
1,3,39,1.5,4.5,0.25,2,13.475,13.1485728919021,2.76229510565199,55.0152473449707,51.6316087331229,9.37701558318091,41.4822465896606,40.2218454645255,2.23324909165612,7380,7560
-1,3,39,1.5,4.5,0.25,2,1.997,3.50699742937353,3.79736688164497,76.2345962524414,62.4091060170061,16.5658916232159,21.7870970726013,21.6864044003618,2.07399171537936,7318,7560
-1,3,39,1.5,4.5,0.25,2,5.925,6.50792773169588,3.36342230447007,72.1936645507812,62.1880372695482,14.6684893511168,21.0328273773193,20.4091584713376,2.31076279646566,7096,7560
-1,3,39,1.5,4.5,0.25,2,9.74,9.91876035425996,2.89140806436972,63.8068504333496,57.2056932056572,11.5041779651386,23.2287516593933,22.3503487749732,2.59100758840389,7090,7560
